nextday_High,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,RDSCUNT_RATE,RATE_YEAR,RATE,BOND_RATE,PRP_M,PRP_M_P,M1A,M1B,M2,PUR_A,ASSETS,LIABILITIES
7835.549805,7468.830078,7734.049805,7468.830078,7734.049805,7734.020996,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
7901.810059,7752.319824,7835.549805,7529.359863,7692.470215,7692.441406,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
7741.810059,7739.549805,7901.810059,7669.759766,7825.009766,7824.980469,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
7788.419922,7536.029785,7741.810059,7536.029785,7719.040039,7719.01123,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
7339.600098,7719.859863,7788.419922,7655.990234,7662.529785,7662.500977,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
7391.310059,7280.640137,7339.600098,7186.700195,7210.009766,7209.982422,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
7315.819824,7391.310059,7391.310059,7089.560059,7089.560059,7089.533691,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
7651.629883,7136.240234,7315.819824,7040.540039,7313.399902,7313.37207,5.25,6.03,7.5,6.36,16426,5111,15693,35249,145556,28099,33013,4914
7940.200195,7419.339844,7651.629883,7406.100098,7646.350098,7646.321289,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7864.220215,7835.600098,7940.200195,7764.029785,7785.319824,7785.291016,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
8090.140137,7733.220215,7864.220215,7733.220215,7864.220215,7864.19043,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
8137.02002,7987.080078,8090.140137,7983.919922,8076.77002,8076.739258,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7810.990234,8076.52002,8137.02002,7778.660156,7860.089844,7860.060059,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7797.720215,7724.870117,7810.990234,7644.52002,7767.140137,7767.111328,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7587.970215,7765.220215,7797.720215,7681.140137,7712.160156,7712.131348,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7681.310059,7544.870117,7587.970215,7515.640137,7554.939941,7554.911133,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7690.540039,7673.140137,7681.310059,7481.390137,7482.919922,7482.89209,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7876.140137,7528.330078,7690.540039,7499.25,7690.540039,7690.51123,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7705.399902,7870.02002,7876.140137,7642.939941,7644.970215,7644.941406,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7806.680176,7606.490234,7705.399902,7606.490234,7705.399902,7705.371094,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7773.350098,7747.859863,7806.680176,7689.189941,7693.290039,7693.26123,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7880.02002,7762.22998,7773.350098,7732.720215,7773.350098,7773.321289,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
