grm_Adj Close,cnd_Open,cnd_Adj_Close,mxc_Open,mxc_Adj_Close,agt_Open,agt_Adj_Close,chl_Adj_Close,chl_Open,bx_Open
3941.91,6778.700,6773.900,4679.200,4832.200,630.74,649.9,1035.18,1025.83,9189
3832.1,6750.100,6724.600,4829.200,4720.900,649.41,622.14,1031.58,1036.52,9420
3850.14,6725.900,6630.500,4720.900,4787.100,622.14,633.25,1031.46,1031.68,8862
3926.93,6636.400,6505.400,4787.100,4897.000,635.36,648.53,1038.78,1031.57,9153
3961.97,6505.400,6450.000,4897.000,4957.100,649.08,659.04,1038.44,1038.89,9371
3972.08,6468.600,6512.800,4957.100,4974.600,658.55,655.6,1037.43,1039,9623
4125.92,6537.900,6623.900,4974.600,5118.200,656.24,680.29,1042.83,1038.21,9396
4096.4,6647.800,6667.500,5118.200,5126.700,680.44,688.9,1046.65,1043.39,9650
4074.55,6664.000,6681.200,5126.700,5127.900,689.06,705.36,1041.37,1046.76,10072
4159.72,6689.600,6662.300,5128.300,5131.100,706.01,712.58,1048.79,1041.47,10212
4191.81,6635.000,6724.400,5130.600,5110.200,712.36,723.77,1047.33,1048.9,9946
4208.14,6766.300,6787.700,5110.200,5110.400,718.225,713.775,1041.645,1047.945,10210
4187.13,6767.400,6767.000,5110.800,5111.900,724.09,703.78,1035.96,1046.99,10076
4116.7,6771.200,6754.500,5111.900,5045.400,703.58,672.77,1020.77,1035.51,9839
4016.7,6686.500,6644.900,5045.400,4953.000,672.64,662.93,1018.97,1024.145,8853
4061.91,6640.700,6641.900,4998.950,4980.550,662.84,653.29,1017.17,1012.78,8941
4029.08,6640.700,6584.700,4952.500,5008.100,653.29,673.18,1009.41,1017.28,9035
4150.31,6600.100,6567.400,5009.000,5087.300,673.1,674.68,1006.59,1009.51,9551
4154.57,6595.200,6625.500,5087.300,5112.000,674.68,669.06,1013.46,1008.95,9923
4162.92,6634.900,6594.900,5111.700,5040.900,667.21,655.8,1003.44,1013.56,9854
4055.35,6545.900,6535.300,5040.900,4946.500,654.65,645.31,987.8,1002.76,8910
4125.54,6560.000,6595.500,4946.500,4931.600,645.62,648.45,983.75,987.9,9139
4132.79,6575.000,6553.100,4931.600,4925.900,648.63,642.64,979.25,984.75,9641
4132.79,6557.900,6539.500,4925.900,4912.700,642.92,641.24,981.95,979.35,9599
4266.02,6539.500,6539.500,4952.900,5034.000,641.75,644.34,979.59,982.05,9557
4266.02,6578.900,6650.000,5034.000,5120.600,664.67,668.84,992.3,979.8,9794
4224.3,6675.800,6691.200,5122.200,5206.400,669.17,687.5,1019.31,993.53,10208
4320.625,6674.400,6699.400,5206.400,5229.400,669.17,687.5,1016.72,1019.42,10317.5
4416.95,6713.800,6742.100,5204.000,5199.600,679.85,650.37,1025.16,1025.83,10427
4360.05,6708.900,6656.300,5199.600,5033.400,679.85,650.37,1012.45,1025.27,10607
4339.98,6637.200,6590.600,5033.400,4942.900,650.37,647.93,987.91,1012.89,10215
4293.64,6539.000,6490.700,4936.400,4837.200,647.38,626.92,957.08,988.02,9874
4237.75,6453.500,6272.400,4837.100,4547.700,627.13,590.17,917.58,957.18,9656
4134.64,6066.700,6240.000,4547.700,4686.900,589.2,579.81,915.44,914.3,8441
4150.01,6310.800,6329.600,4687.500,4673.600,582.92,603.38,904.75,915.54,9228
4145.41,6364.100,6351.100,4673.600,4650.100,604.55,609.79,895.64,906.2,9744
4140.22,6329.200,6327.000,4650.100,4589.100,609.32,600.42,885.74,895.73,9082
4216.24,6392.400,6418.700,4591.300,4671.200,600.99,614.42,904.87,885.49,9145
4290.05,6418.700,6475.600,4676.700,4773.400,614.7,628.65,918.26,905.63,9451
4310.83,6494.000,6509.500,4773.400,4691.700,628.24,627.05,915.56,918.69,9817
4250.47,6492.000,6494.600,4691.700,4617.700,627.03,615.54,904.98,915.99,9568
4238.77,6459.900,6387.200,4608.700,4549.900,614.98,610.78,892.94,905.07,9234
4529.88,6769.400,6771.400,4569.400,4673.100,614.71,642.67,939.19,911.94,9716
4529.18,6738.700,6773.500,4673.100,4765.400,642.62,654.36,932.1,939.51,9810
4509.25,6747.200,6762.600,4765.400,4787.400,654.36,662.02,919.61,932.19,10056
4494.72,6806.300,6815.000,4776.400,4769.450,661.95,655.93,908.35,919.7,10159
4536.91,6817.700,6847.100,4787.400,4751.500,655.93,658,909.03,908.45,9925
4519.56,6865.400,6846.900,4751.500,4697.500,658.28,659,903.63,909.01,10007
4558.62,6850.900,6881.500,4697.500,4722.000,658.96,670.73,901.26,903.72,10313
4552.46,6897.200,6944.800,4722.000,4729.300,670.34,677.83,900.48,902.37,10278
4509.37,6919.000,6980.700,4728.800,4682.600,676.66,678.65,901.6,900.57,10486
4522.42,6974.300,6972.000,4682.600,4615.800,676.83,674.46,914.99,901.7,10291
4535.56,6972.000,6985.200,4611.700,4588.000,674.46,673.26,917.81,915.09,10365
4627.42,7022.000,6960.500,4594.100,4513.900,673.64,670.02,943.24,918.58,10234
4611.66,6938.500,6944.200,4513.900,4550.200,670.02,666.76,964.17,943.45,10445
4581.08,6934.700,6886.300,4548.900,4606.600,666.71,673.85,972.83,964.27,10163
4583.03,6884.600,6920.700,4606.600,4597.700,673.85,675.33,974.75,972.94,10198
4610.66,6931.900,6942.200,4597.700,4561.000,675.57,680.56,980.71,976.54,10198
4604.55,6916.500,6948.300,4561.000,4599.000,680.56,682.34,966.76,980.81,10244.5
4704.58,6970.900,7002.100,4599.000,4740.200,682.73,690.64,965.74,966.86,10291
4695.78,7007.700,7087.700,4740.200,4775.000,691.53,682.51,989.71,965.85,10626
4693.86,7110.300,7092.500,4775.000,4784.500,681.85,686.64,1001.42,989.82,10421
4781.62,7106.900,7113.100,4784.500,4850.700,687.43,683.97,1018.3,1001.52,10572
4759.62,7095.800,7137.900,4850.700,4841.300,683.97,676.33,1021.22,1018.4,10572
4690.52,7111.200,7142.800,4841.300,4804.100,676.33,676.28,1019.99,1021.33,10939
4676.42,7084.000,7127.700,4804.000,4757.000,675.51,662.99,1017.51,1016.6,10749
4762.71,7162.900,7185.600,4784.400,4855.800,662.74,666.96,1039.34,1017.61,10948
4828.89,7188.900,7228.100,4855.800,4812.200,666.77,658.99,1034.39,1039.56,11296
4852.22,7262.100,7296.000,4812.400,4710.300,659.17,663.52,1043.5,1034.5,11228
4862.41,7308.900,7345.800,4710.300,4742.300,663.52,670.26,1050.03,1043.61,11331
4838.67,7360.400,7402.300,4742.200,4758.400,670.33,673.98,1046.88,1050.14,11183
4872.24,7446.800,7385.100,4758.400,4785.400,674.27,675.13,1061.4,1046.88,11358
4905.59,7419.800,7427.900,4785.400,4723.800,675.5,677.03,1066.69,1061.51,11495
4945.91,7423.100,7440.400,4725.200,4784.300,677.09,670.62,1060.72,1067.13,11568
4908.55,7414.600,7426.800,4784.300,4844.400,669.51,674.53,1042.04,1060.83,11964
4949.91,7441.900,7382.200,4844.400,4852.300,674.56,676.99,1039.9,1042.15,11913
5045.16,7422.600,7412.800,4852.300,4917.100,676.91,688.19,1068.49,1040.12,11812
5014.13,7444.200,7510.200,4917.500,5042.100,688.38,705.88,1060.05,1070.85,11804
5064.35,7526.200,7551.200,5041.400,5004.600,705.99,708.26,1057.35,1060.16,12082
5114.13,7596.700,7579.200,5004.700,4997.100,708.19,698.69,1048.34,1057.68,11998
5029,7569.500,7569.300,4997.100,4986.200,697.38,713.54,1057.23,1042.15,11689
5066.9,7614.100,7622.500,4986.200,5043.100,713.65,710.28,1053.74,1058.69,11945
5069.89,7630.500,7567.900,5043.100,5038.500,710.04,715.93,1056.33,1049.24,11902
5097.25,7595.700,7558.500,5038.500,5016.200,716.71,709.97,1062.63,1056.44,11753
5135.35,7549.700,7527.900,5016.200,4999.100,710.28,710.66,1065.34,1062.74,11950
5179.04,7519.600,7543.400,4999.100,4984.100,710.61,705.96,1072.42,1065.45,11750
5254.32,7575.900,7612.700,4984.100,4927.900,705.94,683.95,1070.62,1072.54,11855
5309.67,7636.600,7579.800,4924.500,4866.700,678.07,658.8,1060.05,1074,11993
5267.35,7571.100,7571.100,4866.700,4921.200,658.9,660.83,1053.74,1060.16,11807
5312.25,7597.100,7620.600,4866.700,4921.200,658.9,660.83,1058.47,1053.97,11807
5312.25,7619.450,7638.000,4925.200,4919.100,660.92,664.64,1050.535,1056.22,11975
5367.98,7641.800,7655.400,4925.200,4919.100,660.92,664.64,1042.6,1058.47,11975
5367.98,7679.400,7780.500,4919.100,4961.300,664.64,677.21,1039.45,1042.6,12121
5359.24,7829.000,7817.700,4961.300,4991.000,677.11,683.06,1032.25,1039.56,12160
5292.97,7769.800,7803.900,4991.000,5001.600,683.06,680.69,1018.97,1032.36,12250
5326.63,7802.700,7764.800,5001.600,5083.700,680.65,693.22,1010.76,1019.08,11965
5407.93,7745.600,7754.400,5083.700,5166.400,693.49,699.63,992.41,1011.2,11988
5373.8,7731.600,7765.500,5166.400,5185.500,699.63,703.68,991.51,992.52,11962
