ind_Adj_Close,astsp_Open,astsp_Adj_Close,ast_Open,ast_Adj_Close,usdow_Open,usdow_Adj_Close,usnsdq_Open,usnsdq_Adj_Close,usvix_Open
3721.05,2476.3,2476.3,2521.6,2524,7581.6,7552.6,1609.77,1590.72,35.21
3723.4,2463.5,2463.5,2524,2510.9,7552.6,7558.7,1594.45,1584.86,36.92
3554.1,2433.4,2433.4,2504,2479.1,7400.1,7487.8,1554.79,1559.25,37.24
3569.77,2428.05,2428.05,2495.85,2473.7,7486.8,7572.5,1565.68,1583.51,36.19
3578.1,2422.7,2422.7,2487.7,2468.3,7582.8,7698.2,1601.95,1614.11,32.56
3518.9,2396,2396,2468.3,2442.3,7693.3,7650.8,1614.67,1600.44,31.33
3454.65,2389.1,2389.1,2442.3,2435.7,7646.4,7724.7,1596.29,1601.22,31.12
3466.86,2437.2,2437.2,2435.7,2482.7,7725.9,7826.6,1607.66,1626.56,28.73
3523.44,2424.5,2424.5,2458.9,2468.55,7827.9,7881.07,1636.58,1620.75,26.68
3403.07,2411.8,2411.8,2482.1,2454.4,7876.6,7767.9,1612.94,1586.99,28.91
3479.89,2421.5,2421.5,2454.4,2463.1,7767.2,7809,1593.3,1589.04,28.94
3535.52,2422,2422,2463.1,2462.3,7809.2,7794.8,1593.57,1594.5,28.95
3628.07,2424.1,2424.1,2462.3,2465.1,7802.25,7808.95,1594.705,1597.525,28.495
3560.29,2452.4,2452.4,2487.85,2494.95,7795.3,7823.1,1595.84,1600.55,28.04
3569.65,2480.7,2480.7,2513.4,2524.8,7825.12,8013.1,1608.56,1630.72,27.86
3553.48,2515.6,2515.6,2524.8,2562.4,8012.6,8018.8,1625.48,1606.37,25.69
3562.37,2505.5,2505.5,2562.4,2552.5,8017.3,8032,1603.99,1615.13,25.21
3527.1,2513,2513,2552.5,2557.2,8032.8,8050.2,1621.72,1613.42,22.8
3469.08,2526.9,2526.9,2569.75,2570,8046.2,8149.1,1608.03,1633.9,22.34
3468.19,2540.8,2540.8,2587,2582.8,8148.9,8110.8,1639.39,1651.54,22.88
3391.59,2511.2,2511.2,2582.8,2554.7,8110.8,8049.7,1636.97,1620.55,23.45
3347.33,2474.2,2474.2,2554.7,2516.8,8048.9,7978.8,1611.88,1596.61,23.06
3329.14,2448.3,2448.3,2516.8,2494,7973.8,7849,1577.55,1558.54,26.82
3329.27,2457.5,2457.5,2508.85,2504.05,7849.5,7838.3,1564.06,1536.58,26.55
3367.56,2466.7,2466.7,2500.9,2514.1,7838.3,7922.6,1540.41,1536.56,28.18
3424.87,2517.6,2517.6,2514.1,2562.1,7924.33,7976.3,1541.25,1553,26.03
3487.02,2518.1,2518.1,2562.1,2563.1,7978.3,7957.4,1563.53,1547.37,25.57
3472.35,2480.5,2480.5,2563.1,2528.1,7953.4,7846.5,1548.67,1523.19,26.21
3540.19,2496.3,2496.3,2533.25,2543.5,7846.47,7756.3,1506.86,1524.74,29.23
3616.34,2512.1,2512.1,2503.4,2558.9,7758.5,7819.3,1533.46,1532.06,28.83
3641.11,2507.5,2507.5,2558.9,2554.7,7818.8,7691.8,1531.6,1509.91,28.69
3607.69,2507.5,2507.5,2558.9,2554.7,7693,7660.13,1516.66,1499.53,29.94
3633.38,2553.4,2553.4,2576.3,2601.4,7660.1,7679.3,1501.15,1511.38,29.39
3706.79,2553.4,2553.4,2576.3,2601.4,7679.3,7792.4,1521.79,1537.45,28.71
3637.71,2567.4,2567.4,2616.5,2616.5,7796.4,7916,1539.55,1565.03,26.27
3658.98,2602.2,2602.2,2630.4,2650.9,7916.2,7908.3,1565.87,1570.35,24.21
3739.21,2637,2637,2644.3,2685.3,7967,7979,1585.77,1594.12,24.11
3719.62,2599.5,2599.5,2685.3,2646.9,7978.25,7906.25,1588.07,1580.14,25.2
3683.31,2602.9,2602.9,2646.9,2650.7,7904.8,7902.3,1574.01,1561.7,26.15
3598.16,2552,2552,2650.7,2603.1,7902,7802.6,1555.91,1555.54,26.24
3530.2,2532.8,2532.8,2596.55,2584.2,7799.9,7580.4,1555.54,1503.22,25.79
3395.04,2513.6,2513.6,2542.4,2565.3,7575.2,7647.2,1482.01,1507.58,28.69
3431.72,2556.3,2556.3,2565.3,2605.3,7646.4,7732.1,1519.62,1541.63,26.7
3400.79,2535.4,2535.4,2605.3,2584.5,7732.1,7784.7,1549.8,1548.76,25.04
3365.78,2565,2565,2584.5,2614,7783.7,7691.8,1545.82,1547.06,23.92
3382.32,2577.45,2577.45,2614.75,2626.7,7696.01,7753.5,1557.69,1562.88,21.45
3480.86,2589.9,2589.9,2645,2639.4,7724.905,7813.3,1562.745,1576.51,21.83
3455.95,2574.6,2574.6,2639.4,2622.8,7753.8,7873.1,1567.8,1590.14,22.21
3418.34,2552.2,2552.2,2622.8,2599.4,7871.9,7794.4,1583.4,1587.92,22.75
3380.3,2572.6,2572.6,2599.4,2623.3,7793.4,7730.9,1577.88,1576.51,23.22
3354.8,2597.7,2597.7,2670.1,2654.4,7909.99,8107.78,1640.06,1652.89,21.32
3354.88,2601.9,2601.9,2654.4,2656.9,8107.78,8160.35,1654.23,1666.34,21.31
3319.19,2600.8,2600.8,2656.9,2657.9,8158.6,8129.71,1663.46,1680.44,21
3352.48,2601.2,2601.2,2657.9,2656.1,8128.71,8117.25,1692.22,1676.9,19.18
3366.7,2606.35,2606.35,2671.6,2662.05,8113.76,8189.49,1675.51,1694.35,20.97
3348.35,2611.5,2611.5,2685.3,2668,8191.49,8180.52,1699.92,1690.43,21.23
3317.7,2619.5,2619.5,2668,2678,8179.78,8295.61,1692.29,1709.04,21.21
3292.91,2613.2,2613.2,2678,2674.3,8293.37,8314.55,1708.99,1708.55,21.04
3293.89,2591.6,2591.6,2674.3,2653,8311.31,8369.6,1702.89,1714.34,20.62
3373.53,2593.35,2593.35,2647.75,2655,8366.86,8370.1,1709.4,1710.42,20.48
3449.77,2595.1,2595.1,2621.2,2657,8367.73,8384.3,1715.21,1706.925,20.455
3413.36,2599.7,2599.7,2657,2661.2,8368.6,8398.5,1721.02,1703.43,20.43
3401.88,2593.4,2593.4,2661.2,2658.8,8393.51,8451.06,1702.79,1715.73,20.24
3437.64,2578.3,2578.3,2658.8,2645.1,8451.81,8375.58,1723.9,1727.01,19.89
3417.3,2587.35,2587.35,2655.9,2655.65,8375.83,8413.94,1731.84,1728.13,19.56
3478.4,2596.4,2596.4,2653,2666.2,8413.94,8410.2,1744.21,1751.76,19.14
3484.69,2605.3,2605.3,2666.2,2675.7,8408.21,8370.1,1755.75,1738.71,19.13
3528.16,2627.2,2627.2,2676,2696,8368.85,8457.78,1746.84,1766.48,19.01
3571.63,2626.9,2626.9,2696,2697.4,8455.29,8490.67,1766.71,1777.11,18.96
3622.22,2623.5,2623.5,2696.95,2690.9,8489.67,8545.72,1778.02,1770.51,18.66
3772.61,2620.1,2620.1,2697.9,2684.4,8544.47,8550.45,1778.72,1758.54,18.97
3758.27,2644.3,2644.3,2684.4,2705.4,8548.71,8584.83,1748.96,1757.14,19.43
3743.93,2591.8,2591.8,2705.4,2652.7,8582.59,8539.24,1750.48,1759.7,19.27
3714.62,2609.3,2609.3,2652.7,2667.6,8536.8,8444.33,1714.59,1711.92,20.87
3708.58,2622.25,2622.25,2666.7,2680.25,8446.82,8569.39,1722.59,1753.49,19.97
