Date,y,m,d,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,jp_Open
1997-07-29,1997,7,29,9980.110352,10057.950195,9892.339844,9892.339844,9892.302734,20627.859
1997-07-30,1997,7,30,9953.94043,10000.610352,9898.299805,9942.790039,9942.751953,20413.840
1997-07-31,1997,7,31,10111.830078,10113.570313,10050.929688,10066.349609,10066.311523,20240.619
1997-08-01,1997,8,1,9953.30957,10102.769531,9942.339844,10001.55957,10001.521484,20344.631
1997-08-04,1997,8,4,10167.30957,10167.30957,10059.089844,10065.759766,10065.72168,19838.779
1997-08-05,1997,8,5,10077.080078,10077.080078,9914.099609,9919.679688,9919.641602,19645.359
1997-08-06,1997,8,6,9991.320313,9991.320313,9833.44043,9861.469727,9861.432617,19537.350
1997-08-07,1997,8,7,9935.209961,9962.209961,9822.139648,9840.879883,9840.842773,19719.070
1997-08-08,1997,8,8,9921.910156,9934.540039,9851.790039,9923.839844,9923.801758,19395.240
1997-08-11,1997,8,11,10035.379883,10036.040039,9863.629883,9897.269531,9897.232422,19462.350
1997-08-12,1997,8,12,9895.990234,9932.339844,9759.360352,9807.740234,9807.703125,18946.189
1997-08-13,1997,8,13,9870.240234,9870.240234,9547.799805,9556.120117,9556.084961,19041.100
1997-08-14,1997,8,14,9659.69043,9659.69043,9501.629883,9632.339844,9632.303711,19056.311
1997-08-15,1997,8,15,9728.490234,9804.200195,9700.75,9770.799805,9770.762695,19313.430
1997-08-19,1997,8,19,9788.240234,9806.290039,9703.900391,9712.450195,9712.413086,19122.311
1997-08-20,1997,8,20,9831.55957,9856.589844,9797.25,9855.160156,9855.123047,18952.699
1997-08-21,1997,8,21,9983.339844,10054.549805,9983.339844,10025.129883,10025.091797,19320.330
1997-08-22,1997,8,22,9992.280273,10056.160156,9979.730469,10020.549805,10020.511719,19073.609
1997-08-25,1997,8,25,10026.509766,10057.070313,9994.75,10011.469727,10011.431641,18683.471
1997-08-26,1997,8,26,10134.299805,10166.919922,10082.009766,10116.839844,10116.801758,18665.570
1997-08-27,1997,8,27,10191.80957,10256.099609,10040.480469,10050.669922,10050.631836,18755.381
1997-08-28,1997,8,28,10067.480469,10067.480469,9796.879883,9827.490234,9827.453125,18472.551
1997-09-01,1997,9,1,9861.75,9861.75,9499.519531,9504.990234,9504.955078,18215.221
1997-09-02,1997,9,2,9564.44043,9564.44043,9185.490234,9211.669922,9211.635742,18026.600
1997-09-03,1997,9,3,9460.75,9502.730469,9375.769531,9460.759766,9460.724609,18348.631
1997-09-04,1997,9,4,9421.339844,9466.610352,9117.870117,9147.849609,9147.81543,18706.070
1997-09-05,1997,9,5,9278.30957,9304.099609,9141.429688,9290.389648,9290.355469,18577.260
1997-09-08,1997,9,8,9357.030273,9357.030273,9133.429688,9149.290039,9149.255859,18661.369
1997-09-09,1997,9,9,9154.05957,9174.429688,9002.769531,9079.360352,9079.326172,18637.160
1997-09-10,1997,9,10,9242.980469,9269.870117,9134.429688,9145.179688,9145.145508,18649.061
1997-09-11,1997,9,11,9038.900391,9134.450195,9027.879883,9115.099609,9115.06543,18625.561
1997-09-12,1997,9,12,9157.230469,9191.719727,9142.530273,9155.240234,9155.206055,18215.619
1997-09-15,1997,9,15,8996.709961,9020.730469,8898.129883,8932.019531,8931.986328,18123.859
1997-09-17,1997,9,17,9070.230469,9123.169922,9020.370117,9087.549805,9087.515625,18032.100
1997-09-18,1997,9,18,9075.320313,9141.330078,9055.370117,9141.330078,9141.295898,17682.369
1997-09-19,1997,9,19,9189.589844,9292.120117,9187.209961,9243.709961,9243.675781,17936.590
1997-09-22,1997,9,22,9257.089844,9288.950195,9216.580078,9220.990234,9220.956055,18077.311
1997-09-23,1997,9,23,9230.089844,9230.089844,9053.769531,9073.769531,9073.735352,18164.280
1997-09-24,1997,9,24,9032,9083.950195,8978.730469,8994.019531,8993.986328,18251.250
1997-09-25,1997,9,25,9168.110352,9168.110352,8785.959961,8791.80957,8791.777344,18370.230
1997-09-26,1997,9,26,8750.780273,8829.099609,8599.820313,8719,8718.967773,18307.689
1997-09-30,1997,9,30,8806.839844,8812.009766,8658.05957,8708.830078,8708.797852,18022.580
1997-10-01,1997,10,1,8737.080078,8737.080078,8625.839844,8695.019531,8694.987305,17820.381
1997-10-02,1997,10,2,8698.669922,8733.610352,8502.299805,8504.660156,8504.62793,17875.520
1997-10-03,1997,10,3,8393.879883,8537.179688,8393.879883,8537.179688,8537.147461,17468.029
1997-10-06,1997,10,6,8405.299805,8498.740234,8384.349609,8392.589844,8392.557617,17645.750
1997-10-07,1997,10,7,8285.280273,8368.290039,8177.540039,8221.349609,8221.317383,17843.160
1997-10-08,1997,10,8,8285.889648,8325.610352,8204.910156,8255.820313,8255.788086,17531.070
1997-10-09,1997,10,9,8373.200195,8461.870117,8364.759766,8461.870117,8461.837891,17623.881
1997-10-13,1997,10,13,8503.799805,8512.570313,8444.179688,8463.160156,8463.12793,17318.381
1997-10-14,1997,10,14,8480.769531,8489.379883,8391.299805,8429.349609,8429.317383,17220.080
1997-10-15,1997,10,15,8381.299805,8392.540039,8256.320313,8262.400391,8262.368164,17341.561
1997-10-16,1997,10,16,8177.390137,8203.129883,7967.410156,7997.810059,7997.779297,17335.260
1997-10-17,1997,10,17,8084.189941,8084.189941,7654.879883,7832.149902,7832.120605,17591.109
1997-10-20,1997,10,20,7579.859863,7579.859863,7274.970215,7316.779785,7316.751953,17391.410
1997-10-21,1997,10,21,7468.830078,7734.049805,7468.830078,7734.049805,7734.020996,17368.730
1997-10-22,1997,10,22,7752.319824,7835.549805,7529.359863,7692.470215,7692.441406,17267.131
1997-10-23,1997,10,23,7739.549805,7901.810059,7669.759766,7825.009766,7824.980469,17646.551
1997-10-24,1997,10,24,7536.029785,7741.810059,7536.029785,7719.040039,7719.01123,17040.461
1997-10-27,1997,10,27,7719.859863,7788.419922,7655.990234,7662.529785,7662.500977,17262.240
1997-10-28,1997,10,28,7280.640137,7339.600098,7186.700195,7210.009766,7209.982422,17018.779
1997-10-29,1997,10,29,7391.310059,7391.310059,7089.560059,7089.560059,7089.533691,16385.811
1997-10-30,1997,10,30,7136.240234,7315.819824,7040.540039,7313.399902,7313.37207,16828.369
1997-11-03,1997,11,3,7419.339844,7651.629883,7406.100098,7646.350098,7646.321289,16734.665
1997-11-04,1997,11,4,7835.600098,7940.200195,7764.029785,7785.319824,7785.291016,16494.010
1997-11-05,1997,11,5,7733.220215,7864.220215,7733.220215,7864.220215,7864.19043,16519.480
1997-11-06,1997,11,6,7987.080078,8090.140137,7983.919922,8076.77002,8076.739258,16466.131
1997-11-07,1997,11,7,8076.52002,8137.02002,7778.660156,7860.089844,7860.060059,16464.240
1997-11-10,1997,11,10,7724.870117,7810.990234,7644.52002,7767.140137,7767.111328,15722.480
1997-11-11,1997,11,11,7765.220215,7797.720215,7681.140137,7712.160156,7712.131348,15719.580
1997-11-13,1997,11,13,7544.870117,7587.970215,7515.640137,7554.939941,7554.911133,15354.650
1997-11-14,1997,11,14,7673.140137,7681.310059,7481.390137,7482.919922,7482.89209,15354.450
1997-11-17,1997,11,17,7528.330078,7690.540039,7499.25,7690.540039,7690.51123,15153.850
1997-11-18,1997,11,18,7870.02002,7876.140137,7642.939941,7644.970215,7644.941406,16241.560
1997-11-19,1997,11,19,7606.490234,7705.399902,7606.490234,7705.399902,7705.371094,16600.199
1997-11-20,1997,11,20,7747.859863,7806.680176,7689.189941,7693.290039,7693.26123,15875.120
1997-11-21,1997,11,21,7762.22998,7773.350098,7732.720215,7773.350098,7773.321289,16419.980
1997-11-24,1997,11,24,7880.02002,7880.02002,7751.319824,7756.25,7756.221191,16708.440
1997-11-25,1997,11,25,7702.720215,7773.180176,7698.47998,7759.970215,7759.941406,16607.891
1997-11-26,1997,11,26,7819.790039,7819.790039,7694.720215,7698.240234,7698.211426,15926.470
1997-11-27,1997,11,27,7737.470215,7762.149902,7690.109863,7762.149902,7762.121094,16117.080
1997-11-28,1997,11,28,7833.470215,7876.910156,7794.779785,7797.189941,7797.161133,16647.850
1997-12-01,1997,12,1,7446.490234,7454.97998,7354.919922,7400.640137,7400.612305,16593.510
1997-12-02,1997,12,2,7455.509766,7679.529785,7455.509766,7679.529785,7679.500977,17009.590
1997-12-03,1997,12,3,7651.680176,7904.160156,7651.680176,7902.509766,7902.479492,16860.740
1997-12-04,1997,12,4,8003.870117,8060.279785,7919.399902,8050.129883,8050.099121,16566.631
1997-12-05,1997,12,5,8175.189941,8280.650391,8121.899902,8166.870117,8166.839355,16350.550
1997-12-08,1997,12,8,8265.360352,8402.169922,8265.360352,8402.169922,8402.137695,16438.760
1997-12-09,1997,12,9,8512.610352,8512.610352,8325.230469,8333.490234,8333.458008,16184.720
1997-12-10,1997,12,10,8368.160156,8532.25,8368.160156,8503.549805,8503.517578,16676.119
1997-12-11,1997,12,11,8438.379883,8451.929688,8250.919922,8270.580078,8270.547852,16396.699
1997-12-12,1997,12,12,8135.169922,8398.269531,8135.169922,8398.269531,8398.237305,16049.750
1997-12-15,1997,12,15,8420.910156,8420.910156,8241.490234,8241.490234,8241.458008,15865.630
1997-12-16,1997,12,16,8341.349609,8341.349609,8172.830078,8193.650391,8193.618164,15954.450
1997-12-17,1997,12,17,8297.69043,8347.200195,8241.69043,8347.200195,8347.167969,16013.690
1997-12-18,1997,12,18,8361.900391,8380.719727,8253.879883,8255.049805,8255.017578,16455.641
1997-12-19,1997,12,19,8205.830078,8305.830078,8091.169922,8092.580078,8092.549316,16104.800
1997-12-22,1997,12,22,8223.69043,8226.139648,8096.990234,8104.029785,8103.999023,15280.220
1997-12-23,1997,12,23,8192.700195,8192.700195,8032.529785,8038.310059,8038.279297,15035.865
1997-12-24,1997,12,24,7925.100098,8080.810059,7920.100098,8075.049805,8075.019043,14791.510
1997-12-26,1997,12,26,8135.450195,8205.700195,8113.22998,8132.5,8132.469238,15312.290
1997-12-29,1997,12,29,8111.77002,8113.22998,8069.169922,8076.649902,8076.619141,14830.070
1997-12-30,1997,12,30,8167.339844,8167.339844,8116.149902,8145.77002,8145.739258,14838.460
1997-12-31,1997,12,31,8226.330078,8243.599609,8176.700195,8187.27002,8187.239258,15053.695
1998-01-05,1998,1,5,8154.919922,8154.919922,8025.740234,8028.629883,8028.599121,15268.930
1998-01-06,1998,1,6,7994.680176,7999.620117,7938.669922,7966.180176,7966.149902,15007.890
1998-01-07,1998,1,7,7968.540039,8017.52002,7821.75,7835.560059,7835.530762,14898.200
1998-01-08,1998,1,8,7860.029785,7871.109863,7775.259766,7778.160156,7778.131348,15061.440
1998-01-09,1998,1,9,7779.109863,7813.859863,7647.240234,7737.200195,7737.171387,14941.460
1998-01-12,1998,1,12,7578.140137,7592.669922,7373.140137,7375.140137,7375.112305,14877.320
1998-01-13,1998,1,13,7496.379883,7517.120117,7399.47998,7513.240234,7513.211914,14757.840
1998-01-14,1998,1,14,7617.529785,7798.25,7617.529785,7798.25,7798.221191,14866.230
1998-01-15,1998,1,15,7856.149902,7856.149902,7765.990234,7770.77002,7770.741211,15029.670
1998-01-16,1998,1,16,7756.419922,7879.209961,7756.419922,7799.100098,7799.071289,15193.110
1998-01-19,1998,1,19,7928.5,7935.870117,7842.060059,7847.620117,7847.59082,16155.340
1998-01-20,1998,1,20,7880.629883,7908.200195,7840.549805,7907.680176,7907.649902,16220.180
1998-01-21,1998,1,21,8020.490234,8098.649902,8009.22998,8098.649902,8098.619141,16458.939
1998-01-22,1998,1,22,8066.140137,8114.220215,8066.140137,8085.470215,8085.439453,16624.480
1998-02-02,1998,2,2,8260.280273,8405.110352,8245.419922,8405.110352,8405.078125,16685.010
1998-02-03,1998,2,3,8583.379883,8586.919922,8478.30957,8514.179688,8514.147461,16903.500
1998-02-04,1998,2,4,8539.80957,8575.299805,8453.419922,8470.610352,8470.578125,17050.449
1998-02-05,1998,2,5,8492.919922,8626.799805,8484.980469,8621.969727,8621.9375,16803.100
1998-02-06,1998,2,6,8712.25,8775.669922,8469.360352,8544.139648,8544.107422,17022.180
1998-02-09,1998,2,9,8778.980469,8796.44043,8634.610352,8634.610352,8634.578125,17102.000
1998-02-10,1998,2,10,8667.410156,8673.349609,8537.400391,8567.660156,8567.62793,17214.590
1998-02-11,1998,2,11,8693.990234,8753.540039,8682.160156,8713.419922,8713.387695,17231.020
1998-02-12,1998,2,12,8805.160156,8831.120117,8763.070313,8800.019531,8799.987305,17247.449
1998-02-13,1998,2,13,8920.240234,8920.240234,8701.580078,8706.459961,8706.427734,17161.141
1998-02-16,1998,2,16,8673.820313,8729.700195,8628.360352,8708.290039,8708.257813,16750.350
1998-02-17,1998,2,17,8701.969727,8796.219727,8648.759766,8782.089844,8782.057617,16737.859
1998-02-18,1998,2,18,8868.679688,8886.070313,8815.530273,8837.339844,8837.307617,16787.311
1998-02-19,1998,2,19,8958.339844,9014.320313,8942.719727,8978.509766,8978.476563,16581.920
1998-02-20,1998,2,20,9095.370117,9095.370117,9021.849609,9037.480469,9037.447266,16628.070
1998-02-23,1998,2,23,9126.5,9176.240234,9074.620117,9147,9146.96582,16716.580
1998-02-24,1998,2,24,9324.540039,9324.540039,9032.790039,9066.459961,9066.425781,16633.869
1998-02-25,1998,2,25,9111.870117,9131.419922,9010.759766,9027.099609,9027.066406,16156.040
1998-02-26,1998,2,26,9144.259766,9229.19043,9126.55957,9229.19043,9229.15625,16369.130
1998-02-27,1998,2,27,9363.389648,9378.519531,9194.509766,9202.55957,9202.525391,16561.340
1998-03-02,1998,3,2,9272.790039,9314.740234,9243.650391,9277.089844,9277.055664,16901.000
1998-03-03,1998,3,3,9307.019531,9307.019531,9120.330078,9211.830078,9211.795898,17237.160
1998-03-04,1998,3,4,9202.820313,9260.919922,8967.980469,8977.540039,8977.506836,17123.980
1998-03-05,1998,3,5,8995.919922,8995.919922,8748.910156,8765.320313,8765.288086,17010.590
1998-03-06,1998,3,6,8630.049805,8853.55957,8630.049805,8847.650391,8847.618164,16864.340
1998-03-09,1998,3,9,8860.219727,8910.780273,8812.94043,8887.360352,8887.327148,17205.490
1998-03-10,1998,3,10,8971.509766,8976.150391,8869.55957,8897.269531,8897.236328,17000.199
1998-03-11,1998,3,11,8991.709961,9030.549805,8969.55957,9030.549805,9030.516602,16948.949
1998-03-12,1998,3,12,9113.150391,9137.089844,9049.05957,9056.370117,9056.335938,16749.850
1998-03-13,1998,3,13,9096.740234,9109.389648,9006.120117,9055.509766,9055.475586,16563.539
1998-03-16,1998,3,16,9088.5,9107.549805,9049.660156,9065.299805,9065.265625,17062.539
1998-03-17,1998,3,17,9161.179688,9165.120117,9037.290039,9045.549805,9045.516602,16892.910
1998-03-18,1998,3,18,9045.360352,9069.769531,8948.299805,8952.660156,8952.626953,17011.891
1998-03-19,1998,3,19,8994.049805,8994.049805,8837.290039,8859.410156,8859.37793,16612.289
1998-03-20,1998,3,20,8911.759766,8911.759766,8823.269531,8904.230469,8904.197266,16614.891
1998-03-23,1998,3,23,8843.769531,8853.830078,8738,8757.589844,8757.557617,16883.520
1998-03-24,1998,3,24,8792.219727,8815.55957,8751.849609,8806.849609,8806.817383,16768.529
1998-03-25,1998,3,25,8904.5,9040.75,8902.610352,9040.75,9040.716797,16659.039
1998-03-26,1998,3,26,9120.230469,9130.5,9008.200195,9014.169922,9014.136719,16668.529
1998-03-27,1998,3,27,9091.75,9139.669922,9070.870117,9095.830078,9095.795898,16974.029
1998-03-30,1998,3,30,9154.549805,9154.549805,9079.950195,9088.959961,9088.925781,16840.359
1998-03-31,1998,3,31,9069.650391,9106.780273,9051.839844,9091.160156,9091.125977,16294.610
1998-04-01,1998,4,1,9160.679688,9160.679688,9035.69043,9041.5,9041.466797,16433.369
1998-04-02,1998,4,2,9029.730469,9062.389648,8979.490234,9013.099609,9013.066406,16215.280
1998-04-03,1998,4,3,9087.830078,9143.730469,9043.769531,9134.05957,9134.025391,15747.150
1998-04-07,1998,4,7,9283.980469,9337.610352,9264.820313,9266.679688,9266.645508,15667.430
1998-04-08,1998,4,8,9263.94043,9279.280273,9222.209961,9263.44043,9263.40625,15987.810
1998-04-09,1998,4,9,9335.419922,9335.419922,9065.879883,9090.30957,9090.275391,16433.070
1998-04-10,1998,4,10,9178.160156,9178.740234,8992.089844,9054.019531,9053.986328,16499.900
1998-04-13,1998,4,13,9014.740234,9014.740234,8851.139648,8863.110352,8863.078125,16374.130
1998-04-14,1998,4,14,8906.44043,8910.139648,8738.910156,8764.580078,8764.547852,16309.140
1998-04-15,1998,4,15,8887.639648,8887.639648,8720.870117,8807.30957,8807.277344,16322.130
1998-04-16,1998,4,16,8855.790039,8859.089844,8773.089844,8780.209961,8780.177734,16371.530
1998-04-17,1998,4,17,8724.650391,8796.650391,8589.30957,8619.490234,8619.458008,15839.460
1998-04-20,1998,4,20,8741.950195,8741.950195,8507.44043,8508.55957,8508.527344,15705.590
1998-04-21,1998,4,21,8513.530273,8596.209961,8371.639648,8440.200195,8440.167969,15784.270
1998-04-22,1998,4,22,8553.160156,8636.509766,8526.099609,8636.509766,8636.477539,15832.370
1998-04-23,1998,4,23,8624.820313,8653.230469,8586.05957,8613.959961,8613.927734,15752.950
1998-04-24,1998,4,24,8571.019531,8640.379883,8571.019531,8636.110352,8636.078125,15836.410
1998-04-27,1998,4,27,8623.610352,8649.040039,8453.480469,8471.620117,8471.587891,15968.730
1998-04-28,1998,4,28,8327.459961,8434.669922,8327.459961,8434.669922,8434.637695,15526.470
1998-04-29,1998,4,29,8466.379883,8488.80957,8342.660156,8348.349609,8348.317383,15509.945
1998-04-30,1998,4,30,8422.089844,8436.25,8294.379883,8304.209961,8304.177734,15493.420
1998-05-04,1998,5,4,8321.580078,8360.599609,8274.240234,8360.599609,8360.567383,15515.190
1998-05-05,1998,5,5,8387.44043,8432.030273,8320.980469,8330.150391,8330.118164,15515.190
1998-05-06,1998,5,6,8297.900391,8325.639648,8235.339844,8325.639648,8325.607422,15536.960
1998-05-07,1998,5,7,8319.370117,8357.169922,8283.299805,8290.370117,8290.337891,15187.790
1998-05-08,1998,5,8,8241.55957,8242.549805,8184.419922,8210.839844,8210.807617,15105.770
1998-05-11,1998,5,11,8304.980469,8399.629883,8297.05957,8378.879883,8378.847656,15213.340
1998-05-12,1998,5,12,8386.209961,8386.209961,8272.820313,8278.429688,8278.397461,15441.710
1998-05-13,1998,5,13,8306.129883,8306.129883,8174.720215,8202.900391,8202.868164,15281.770
1998-05-14,1998,5,14,8202.099609,8256.959961,8193.5,8193.5,8193.467773,15322.830
1998-05-15,1998,5,15,8198.030273,8229.320313,8160.25,8167.5,8167.469238,15270.630
1998-05-18,1998,5,18,8023.919922,8160.089844,8023.919922,8134.890137,8134.859375,15277.170
1998-05-19,1998,5,19,8108.589844,8188.859863,8103.419922,8136.27002,8136.239258,15397.950
1998-05-20,1998,5,20,8229.129883,8294.790039,8229.129883,8267.490234,8267.458008,15578.870
1998-05-21,1998,5,21,8342.139648,8389.150391,8316.509766,8369.320313,8369.288086,15695.250
1998-05-22,1998,5,22,8360.169922,8403.769531,8360.169922,8384.910156,8384.87793,15892.610
1998-05-25,1998,5,25,8417.160156,8417.160156,8302.860352,8314.089844,8314.057617,15784.420
1998-05-26,1998,5,26,8261.410156,8300.160156,8146.339844,8178.390137,8178.359375,15792.360
1998-05-27,1998,5,27,8093.419922,8152.879883,8035.709961,8068.169922,8068.13916,15824.530
1998-05-28,1998,5,28,8147.419922,8147.419922,8051.709961,8124.5,8124.469238,15639.010
1998-05-29,1998,5,29,8119.25,8119.25,7895.149902,7903.339844,7903.30957,15740.410
1998-06-01,1998,6,1,7860.049805,7860.049805,7574.509766,7606.25,7606.221191,15670.730
1998-06-02,1998,6,2,7671.209961,7671.209961,7523.5,7565.640137,7565.611328,15404.150
1998-06-03,1998,6,3,7631.97998,7699.47998,7598.160156,7643.200195,7643.171387,15525.620
1998-06-04,1998,6,4,7563.629883,7563.629883,7389.799805,7425.959961,7425.932129,15314.240
1998-06-05,1998,6,5,7582.109863,7585.290039,7418.930176,7505.580078,7505.552246,15436.410
1998-06-08,1998,6,8,7601.310059,7645.390137,7560.790039,7591.27002,7591.241211,15283.520
1998-06-09,1998,6,9,7607.580078,7607.580078,7448.359863,7455.629883,7455.602051,15320.330
1998-06-10,1998,6,10,7377.049805,7422.649902,7220.129883,7223.129883,7223.102539,15520.380
1998-06-11,1998,6,11,7073.220215,7238.919922,7073.220215,7210.740234,7210.712891,15285.010
1998-06-12,1998,6,12,7121.859863,7199.47998,7099.540039,7117.109863,7117.083008,14978.320
1998-06-15,1998,6,15,7166.959961,7283.830078,7111.759766,7283.830078,7283.802246,14964.340
1998-06-16,1998,6,16,7174.72998,7444.060059,7170.759766,7404.27002,7404.242188,14743.210
1998-06-17,1998,6,17,7486.540039,7548,7445.919922,7466.379883,7466.352051,14790.810
1998-06-18,1998,6,18,7658.350098,7771.759766,7633.720215,7768.310059,7768.28125,14825.170
1998-06-19,1998,6,19,7723.279785,7815.109863,7700.22998,7754.430176,7754.401367,15312.290
1998-06-22,1998,6,22,7867.410156,7867.410156,7678.700195,7692.910156,7692.881348,15285.010
1998-06-23,1998,6,23,7729.910156,7729.910156,7598.27002,7633.359863,7633.331055,15320.480
1998-06-24,1998,6,24,7733.709961,7783.990234,7659.589844,7670.709961,7670.681152,15129.020
1998-06-25,1998,6,25,7762.319824,7777.290039,7695.740234,7722.640137,7722.611328,15161.040
1998-06-26,1998,6,26,7717.370117,7771.649902,7656.129883,7681.959961,7681.931152,15123.030
1998-06-29,1998,6,29,7679.680176,7679.680176,7533.040039,7535.72998,7535.70166,15254.800
1998-06-30,1998,6,30,7606.149902,7606.149902,7517.330078,7548.810059,7548.78125,15471.430
1998-07-02,1998,7,2,7654.009766,7823.240234,7647.709961,7817.109863,7817.081055,16433.471
1998-07-03,1998,7,3,7797.919922,7872.240234,7746.450195,7758.629883,7758.601074,16354.600
1998-07-06,1998,7,6,7949.120117,7974.27002,7894.180176,7894.850098,7894.819824,16433.670
1998-07-07,1998,7,7,7947.529785,7947.529785,7829.870117,7845.970215,7845.940918,16354.350
1998-07-08,1998,7,8,7908,7938.97998,7887.810059,7936.819824,7936.789551,16528.119
1998-07-09,1998,7,9,8044.959961,8079.740234,7947.529785,7947.529785,7947.499512,16492.510
1998-07-10,1998,7,10,7925.25,7927.819824,7839.799805,7883.160156,7883.129883,16464.789
1998-07-13,1998,7,13,7818.359863,7869.629883,7803.560059,7815.529785,7815.500977,15993.160
1998-07-14,1998,7,14,7888.109863,7895.459961,7789.220215,7789.220215,7789.191406,16379.920
1998-07-15,1998,7,15,7853.72998,7875.910156,7832.169922,7875.910156,7875.880371,16599.551
1998-07-16,1998,7,16,7933.77002,7949.509766,7904.77002,7924.839844,7924.80957,16605.240
1998-07-17,1998,7,17,8013.240234,8040.149902,7985.799805,8032.859863,8032.829102,16732.070
1998-07-20,1998,7,20,8075.859863,8075.859863,8014.700195,8047.669922,8047.63916,16675.925
1998-07-21,1998,7,21,8076.580078,8092.439941,7940.620117,7949.200195,7949.169922,16619.779
1998-07-22,1998,7,22,7872.899902,7881.060059,7794.080078,7881.060059,7881.029785,16460.689
1998-07-23,1998,7,23,7866.390137,7934.580078,7860.209961,7879.890137,7879.859863,16268.480
1998-07-24,1998,7,24,7813.790039,7902.399902,7812.580078,7902.399902,7902.369629,16120.880
1998-07-27,1998,7,27,7935.310059,7935.310059,7882.470215,7890.299805,7890.269531,16281.970
1998-07-28,1998,7,28,7941.379883,7950.839844,7822.129883,7830.140137,7830.11084,16018.880
1998-07-29,1998,7,29,7818.180176,7842.120117,7761.879883,7775.330078,7775.30127,16074.180
1998-07-30,1998,7,30,7808.850098,7808.850098,7723.910156,7730.430176,7730.401367,16190.710
1998-07-31,1998,7,31,7792.22998,7797.930176,7653.310059,7653.509766,7653.480957,16286.610
1998-08-03,1998,8,3,7715.799805,7715.799805,7588.759766,7599.040039,7599.01123,16303.600
1998-08-04,1998,8,4,7573.029785,7639.419922,7573.029785,7593.140137,7593.111328,16061.440
1998-08-05,1998,8,5,7524.830078,7543.279785,7482.819824,7499.72998,7499.702148,16015.130
1998-08-06,1998,8,6,7567.640137,7568.560059,7455.450195,7471.740234,7471.712402,16048.150
1998-08-07,1998,8,7,7501.27002,7542.879883,7446.970215,7530.02002,7529.991699,15924.530
1998-08-10,1998,8,10,7477.899902,7487.009766,7367.02002,7372.120117,7372.092285,15800.350
1998-08-11,1998,8,11,7361.189941,7398,7338.850098,7383.97998,7383.952148,15571.230
1998-08-12,1998,8,12,7301.52002,7351.509766,7276.240234,7351.509766,7351.481934,15287.310
1998-08-13,1998,8,13,7433.390137,7447.299805,7362.549805,7362.549805,7362.521973,15412.990
1998-08-14,1998,8,14,7345.529785,7355.149902,7275.600098,7348.040039,7348.012207,15305.090
1998-08-17,1998,8,17,7352.279785,7352.279785,7248.140137,7273.850098,7273.822266,15130.770
1998-08-18,1998,8,18,7284.600098,7284.600098,7088.72998,7181.589844,7181.5625,14896.700
1998-08-19,1998,8,19,7261.850098,7322.370117,7259.629883,7293.399902,7293.37207,15164.240
1998-08-20,1998,8,20,7289.890137,7311.75,7257.189941,7270.839844,7270.812012,15445.750
1998-08-21,1998,8,21,7268.140137,7277.240234,7195.049805,7213.370117,7213.342773,15277.120
1998-08-24,1998,8,24,7128.970215,7128.970215,6952.009766,6957.75,6957.724121,15145.250
1998-08-25,1998,8,25,6948.950195,6948.950195,6811.430176,6908.330078,6908.304199,15070.230
1998-08-26,1998,8,26,6996.319824,7017.399902,6813.459961,6814.330078,6814.304199,15113.040
1998-08-27,1998,8,27,6706.319824,6820.709961,6665.950195,6813.299805,6813.273926,14794.410
1998-08-28,1998,8,28,6625.370117,6802.950195,6615.939941,6723.77002,6723.744141,14289.210
