bx_Adj_Close,Isrl_Open,Isrl_Adj_Close,tw_VALUE,jp_VALUE ,chn_VALUE,chnhk_VALUE,bx_VALUE,cnd_VALUE,ind_VALUE
10546,280.73,280.83,32.6,128.62,8.309,7.747,1.1295,1.4232,39.26
10557,281.98,282.25,32.35,127.72,8.31,7.7435,1.1293,1.4205,39.3
10571,284.64,286.375,32.2,126.12,8.31,7.743,1.1303,1.4236,39.45
10845,287.3,290.5,32.1,125.38,8.31,7.743,1.1305,1.425,39.6
10845,290.5,289.22,32.1,126.05,8.31,7.7428,1.1308,1.4187,39.53
10899,287.53,285.53,32.05,126.79,8.31,7.743,1.1305,1.4222,39.54
10948,284.23,283.63,32.2,127.61,8.3091,7.745,1.1312,1.4185,39.54
11159,286.475,287.205,32.25,128.42,8.318,7.7425,1.131,1.4185,39.55
11167,288.72,290.78,32.25,127.78,8.31,7.7415,1.1325,1.4143,39.455
11181,290.78,292.31,32.4,127.63,8.31,7.7435,1.1325,1.414,39.55
11223,292.31,295.32,32.35,129.3,8.31,7.7445,1.132,1.4075,39.53
11356,295.32,295.32,32.45,129.25,8.31,7.745,1.1318,1.4113,39.55
11566,295.93,295.605,32.5,128.23,8.31,7.7445,1.133,1.41,39.8
11601,296.54,295.89,32.5,129.4,8.28,7.7445,1.1333,1.4138,39.575
11808,295.89,297.75,32.6,129.41,8.31,7.747,1.1333,1.4165,39.55
11894,297.75,296.36,32.9,130.17,8.31,7.749,1.1342,1.4189,39.65
11832,296.36,296.72,32.85,130.43,8.31,7.748,1.1343,1.418,39.68
11919,297.735,297.52,32.85,130.34,8.31,7.748,1.1344,1.4182,39.55
12025,299.11,298.32,32.8,130.28,8.31,7.748,1.1345,1.422,39.54
11905,297.22,296.64,32.75,130.25,8.31,7.7474,1.135,1.4198,39.58
11756,296.64,298.7,32.7,128.76,8.31,7.7475,1.1358,1.4103,39.6
11945,300.04,301.46,32.59,128.71,8.31,7.748,1.136,1.412,39.55
11900,300.97,300.785,32.63,130.17,8.31,7.7475,1.1362,1.4147,39.51
11750,301.9,300.11,32.75,132.16,8.31,7.7475,1.1357,1.4225,39.55
11947,300.11,302.79,32.95,133.29,8.28,7.7495,1.137,1.418,39.53
11837,302.79,304.57,32.9,133.76,8.31,7.7495,1.1373,1.4175,39.55
11858,304.57,303.55,32.95,133.5,8.31,7.7499,1.1371,1.4195,39.55
11634,308.01,306.96,32.9,135.05,8.28,7.7495,1.1381,1.421,39.56
11847,311.45,310.37,33.1,133.68,8.31,7.7495,1.1385,1.4223,39.74
11975,308.65,306.6,33.1,132.64,8.31,7.75,1.1392,1.4246,39.409
11975,307.46,311.22,33.1,130.21,8.31,7.7493,1.1393,1.4251,39.8
12121,312.055,313.36,32.9,128.96,8.31,7.7495,1.1393,1.4266,39.9
12121,316.65,315.5,33.05,129.52,8.31,7.749,1.1392,1.432,39.7
12270,315.31,313.47,33,129.35,8.31,7.749,1.1402,1.4345,39.65
12299,313.15,312.83,32.91,129.45,8.31,7.75,1.1404,1.4395,39.72
12091,312.83,312.83,33,131.78,8.31,7.7485,1.1409,1.4369,39.74
12109,313.695,314.9,33.03,131.85,8.31,7.748,1.1412,1.4295,39.73
12028,314.56,316.97,33.1,132.23,8.31,7.749,1.1418,1.428,39.71
11865.5,316.97,316.46,33.05,131.33,8.31,7.7495,1.1415,1.431,39.8
11703,316.46,313.24,33.05,130.77,8.31,7.7575,1.1424,1.4327,39.75
11572,313.24,314,33.05,130.19,8.31,7.7595,1.1427,1.4345,39.78
11728,310.89,310.065,33.05,130.9,8.2786,7.7498,1.1435,1.436,39.72
11057,308.54,306.13,33.1,132.09,8.279,7.7495,1.1445,1.4385,39.75
11377,306.13,307.38,33.02,132.19,8.31,7.7492,1.1454,1.439,39.805
11528,307.38,307.38,33.1,132.05,8.31,7.743,1.1448,1.4376,39.78
