ko_VALUE,mlx_VALUE,mxc_VALUE,sd_VALUE,nafrc_VALUE,sgp_VALUE,sz_VALUE,aut_VALUE,eur_VALUE,nzn_VALUE
1395,3.7,8.4725,7.765,5.036,1.598,1.493,0.649,1.21442063657367,0.5518
1388,3.77,8.503,7.75,5.045,1.603,1.5041,0.65,1.2163334544307,0.5533
1387,3.8,8.488,7.77,5.044,1.6025,1.5005,0.649,1.21370459126722,0.558
1385,3.79,8.476,7.719,5.05,1.602,1.4937,0.6455,1.22096760754583,0.5545
1379,3.74,8.4575,7.67,5.047,1.596,1.4825,0.6487,1.22776450827247,0.5597
1377,3.775,8.463,7.685,5.0484,1.5878,1.484,0.6515,1.22577467723141,0.5593
1373,3.79,8.467,7.7278,5.0635,1.591,1.491,0.6535,1.21994183016674,0.5615
1366,3.77,8.478,7.683,5.0535,1.591,1.4903,0.6507,1.22613810853802,0.5595
1365,3.7975,8.515,7.72,5.048,1.6,1.486,0.6473,1.22088001911745,0.5539
1351,3.76,8.489,7.755,5.0445,1.5925,1.493,0.644,1.21614580513687,0.5513
1339,3.74,8.505,7.755,5.0515,1.5885,1.4955,0.6485,1.21608376673863,0.553
1338,3.755,8.492,7.737,5.054,1.585,1.5005,0.652,1.21853103528001,0.5555
1349,3.67,8.479,7.68,5.06,1.581,1.4895,0.645,1.22659340678323,0.5535
1349,3.69,8.475,7.63,5.06,1.585,1.4835,0.6412,1.23365759336764,0.5515
1371,3.89,8.48,7.58,5.057,1.614,1.4735,0.637,1.24059342464535,0.545
1406,3.87,8.501,7.585,5.0655,1.6275,1.4703,0.6373,1.240166178779,0.5437
1389,3.82,8.478,7.6136,5.063,1.619,1.4795,0.6355,1.23641738680527,0.5448
1393,3.8725,8.47,7.6347,5.065,1.6255,1.486,0.6371,1.23365709258674,0.541
1393,3.8925,8.51,7.614,5.075,1.646,1.4805,0.633,1.23643241000353,0.5365
1420,3.89,8.515,7.704,5.084,1.6595,1.4809,0.6276,1.22401209135702,0.5345
1425,3.79,8.505,7.723,5.084,1.6555,1.484,0.627,1.221376689397,0.533
1440,3.7578,8.52,7.745,5.0895,1.6475,1.4879,0.627,1.21838011641669,0.5352
1448,3.845,8.536,7.794,5.098,1.653,1.488,0.6221,1.2116645073843,0.5324
1445,3.865,8.58,7.768,5.1101,1.653,1.4825,0.6236,1.21528311947734,0.5312
1412,3.83,8.64,7.714,5.106,1.65,1.4758,0.6255,1.22257144372368,0.5323
1393,3.785,8.635,7.67,5.084,1.637,1.4645,0.6304,1.22874214785857,0.535
1385,3.81,8.65,7.697,5.094,1.638,1.465,0.6315,1.22496321266336,0.5355
1391,3.8275,8.68865,7.7225,5.1065,1.6465,1.4675,0.627,1.22137021111606,0.5345
1397,3.845,8.7273,7.748,5.119,1.655,1.47,0.6225,1.21777720956877,0.5335
1415,3.85,8.89,7.82,5.1545,1.6665,1.4722,0.6215,1.20786619786188,0.533
1404,3.89,8.785,7.812,5.18,1.6755,1.4755,0.6219,1.20907390875043,0.5325
