jp_Adj_Close,chnsse_Open,chnsse_Adj_Close,chnhs_Open,chnhs_Adj_Close,ko_Open,ko_Adj_Close,iny_Open,iny_Adj Close,ind_Open
16198.000,1206.925,1208.218,10740.800,10683.300,541.580,540.890,506.196,494.875,3481.46
16360.640,1208.524,1194.673,10676.400,10886.700,539.380,516.380,495.069,483.397,3508.35
16501.699,1193.003,1206.674,11094.300,11224.800,516.720,524.980,482.977,483.793,3535.24
16831.670,1209.442,1206.530,11294.600,11480.700,527.400,548.420,484.118,482.364,3578.89
17264.340,1196.742,1188.306,11486.700,11318.800,562.660,574.350,482.378,496.714,3657.57
17168.330,1186.520,1201.789,11343.200,11425.500,577.240,570.890,505.189,518.671,3658.865
17095.600,1204.945,1213.253,11414.200,11350.800,570.330,572.760,519.813,502.896,3660.16
16848.551,1217.851,1207.541,11161.500,10803.700,570.130,535.680,502.862,516.474,3699.73
17131.971,1208.749,1206.452,10730.300,10919.500,530.760,522.550,521.062,512.216,3709.88
16972.529,1207.959,1200.834,10892.800,10994.100,526.400,507.710,521.078,495.799,3775.54
16982.820,1199.625,1199.832,10995.300,10898.600,507.820,525.560,498.232,490.461,3810.15
16756.141,1201.262,1190.037,10984.400,11118.900,522.060,531.050,491.409,491.858,3791.11
16575.221,1187.538,1178.970,11094.500,10902.500,534.950,535.840,493.241,498.17,3713.02
17060.141,1177.817,1184.961,10889.900,11057.000,537.840,536.160,499.877,506.718,3746.955
16861.141,1186.186,1188.482,11034.500,11181.500,535.600,528.880,507.577,510.771,3780.89
16997.199,1193.668,1202.835,11268.000,11255.500,528.540,515.510,511.091,512.125,3771.59
16619.680,1204.103,1193.909,11279.000,11121.700,516.000,518.080,512.224,503.989,3803.66
16679.020,1192.397,1188.715,11162.800,11445.000,518.000,521.730,503.303,504.132,3848.32
16830.471,1188.595,1187.501,11553.400,11564.200,522.380,525.950,503.098,516.716,3802.01
16868.830,1186.561,1179.869,11633.300,11594.300,521.910,511.900,516.923,516.303,3920.32
16606.391,1180.093,1194.017,11546.600,11645.400,512.800,508.430,516.451,501.645,3982.63
16658.340,1207.616,1191.553,11745.600,11810.600,509.250,510.140,501.66,504.08,3913.96
16980.619,1191.001,1188.865,11911.200,11757.900,508.890,501.130,504.753,532.796,3970.76
16739.260,1189.409,1223.565,11703.700,11735.500,501.200,503.080,533.566,542.082,3880.33
16263.040,1230.944,1249.435,11834.900,11503.800,493.050,482.330,544.188,541.409,3952.21
16527.170,1251.343,1243.016,11447.700,11518.700,482.910,481.040,543.644,532.671,3894.53
16241.660,1243.373,1254.965,11491.200,11331.400,482.880,468.220,543.1,523.932,3901.44
15702.900,1259.593,1269.015,11352.700,11189.700,464.870,453.660,523.973,516.388,3986.6
15517.780,1268.569,1286.084,11126.500,11052.700,449.640,434.450,516.383,533.284,4012.72
15978.720,1308.556,1303.140,11178.100,11049.400,437.710,459.580,521.117,531.652,4159.19
16376.620,1303.408,1322.793,11012.800,11314.500,458.960,455.530,525.852,530.02,4159.19
16536.660,1326.444,1297.225,11261.700,11342.000,467.990,468.110,530.805,527.569,4172.86
16481.119,1294.617,1311.514,11355.450,11381.150,467.230,468.290,529.327,525.809,4172.86
16317.580,1319.945,1318.748,11355.450,11381.150,488.840,494.890,527.848,524.048,4051.58
16277.320,1318.274,1313.721,11449.200,11420.300,491.190,467.630,524.175,516.086,4085.42
16299.300,1314.165,1324.707,11471.000,11371.100,466.940,467.870,516.148,513.43,4119.26
15883.770,1324.037,1316.246,11315.400,11187.800,465.900,454.150,513.488,510.053,4195.53
15703.800,1311.544,1298.107,11055.000,11001.300,450.530,450.230,510.021,507.887,4134.93
15697.100,1292.162,1296.005,11075.000,11151.600,441.220,435.730,507.977,508.141,4217.75
15825.670,1296.772,1305.223,11125.400,10968.300,434.080,439.210,508.374,497.692,4235.37
15761.540,1307.832,1322.182,10988.800,10977.500,437.970,431.810,497.782,500.626,4305.61
15761.690,1337.489,1324.559,10966.400,10918.900,428.760,416.540,500.711,491.841,4161.31
16011.240,1324.455,1315.167,10839.100,10879.900,416.210,414.560,491.868,490.466,4088.14
15649.950,1314.350,1310.378,10812.100,10593.700,411.590,406.250,490.64,485.627,4098.17
15395.430,1315.346,1332.990,10358.100,10678.610,406.160,402.390,490.64,485.627,4098.17
15518.345,1337.894,1332.499,10668.860,10471.150,403.340,417.050,485.313,465.233,4076.23
15641.260,1336.010,1343.448,10490.120,10383.680,418.310,421.220,466.367,460.121,3970.5
15442.550,1353.056,1352.926,10610.970,10439.420,401.530,391.800,448.515,445.981,4058.75
15442.550,1355.045,1352.520,10460.210,10153.660,395.165,384.015,446.007,435.147,4142.32
15243.840,1352.723,1348.412,10036.400,10109.140,388.800,376.230,434.853,414.613,4145.6
15143.030,1348.888,1327.873,9992.760,9971.930,376.110,379.470,417.542,436.765,4097.365
15149.000,1324.742,1357.595,9911.910,10060.380,376.460,373.040,436.242,434.642,4049.13
15381.900,1367.242,1354.606,10106.440,10096.370,372.290,361.580,435.519,432.578,4028.28
15322.480,1358.958,1349.649,10033.380,9841.510,356.550,351.860,434.796,430.513,4007.43
15343.810,1351.180,1369.262,9710.730,9469.290,349.380,356.580,430.441,402.045,3897.88
15307.690,1373.171,1367.127,9485.740,9591.950,354.690,362.940,402.057,403.687,3789.07
15242.860,1373.427,1368.087,9573.080,9538.390,361.690,352.830,403.699,405.925,3909.88
15384.470,1373.670,1368.183,9478.570,9411.970,353.380,359.000,405.659,388.906,3892.54
15551.650,1370.675,1362.292,9344.430,9449.110,360.160,362.530,388.901,413.812,3907.75
15652.950,1362.694,1357.431,9333.630,9549.180,364.060,369.170,413.824,423.993,3930.01
15845.250,1356.959,1366.656,9693.590,9670.450,370.550,362.300,420.073,434.562,3969.62
15801.650,1371.365,1375.817,9613.680,9555.980,361.090,353.670,426.322,445.13,3914.34
15783.120,1380.126,1389.366,9519.950,9544.530,353.400,331.900,445.433,439.542,3882.03
15884.820,1392.750,1390.416,9529.320,9482.210,324.960,311.990,439.616,434.046,3906.74
15664.290,1393.738,1399.542,9357.910,8983.430,313.840,313.480,433.864,416.955,3843.45
15796.550,1402.853,1397.895,8931.560,8877.940,313.810,323.090,416.376,414.208,3754.73
15670.780,1402.675,1411.209,8853.630,8934.560,323.770,336.630,417.529,420.453,3673.45
15321.030,1418.354,1415.575,9049.480,8612.010,334.100,336.700,420.231,414.067,3737.25
15554.450,1419.221,1413.080,8618.670,8598.170,335.480,324.100,414.079,399.587,3634.23
15347.000,1415.019,1420.000,8631.550,8819.220,324.820,332.460,399.427,392.596,3572.96
15426.470,1420.986,1406.303,8805.420,8558.430,329.415,336.995,393.348,406.319,3598.33
15323.430,1404.075,1408.614,8606.550,8569.470,334.010,341.530,407.785,409.504,3527.67
15294.710,1411.956,1403.730,8623.060,8586.630,345.380,345.880,413.457,409.407,3455.57
15530.170,1400.347,1369.650,8615.300,8391.460,344.200,339.220,409.655,411.06,3426.29
15339.260,1367.741,1368.297,8261.750,7979.370,341.790,324.540,411.125,408.068,3451.17
15014.040,1367.555,1347.677,7881.580,7886.070,323.140,328.700,411.482,411.532,3269.36
15022.330,1373.110,1383.388,7749.490,7915.440,318.310,302.090,411.325,408.36,3367.49
14825.170,1385.327,1365.341,7803.930,7462.500,300.690,288.210,407.597,406.489,3344.49
14720.380,1362.591,1348.588,7426.610,7526.450,283.410,280.000,406.501,399.5,3114.59
14715.380,1349.003,1348.942,7787.830,8004.350,287.980,303.810,399.539,419.43,3291.43
15361.540,1352.235,1370.685,8485.630,8515.970,310.120,325.490,419.795,440.08,3416.09
15267.980,1376.194,1392.878,8396.260,8591.910,323.050,313.260,440.401,425.44,3234.56
15309.090,1400.468,1399.356,8531.300,8204.210,316.160,311.270,425.453,420.647,3063.15
15054.600,1398.238,1397.956,8284.590,8219.670,308.390,303.310,420.59,423.072,3041.81
15123.180,1399.708,1401.742,8221.180,8296.770,300.320,301.720,423.14,430.947,3041.79
