PUR_A,ASSETS,LIABILITIES
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
35665,40342,4677
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36379,40778,4399
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
36275,41026,4751
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37059,42085,5026
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
37623,41951,4328
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38030,42549,4519
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38480,43107,4627
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
38098,43358,5260
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
39139,44480,5341
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
38584,43720,5136
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37634,43572,5938
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
37970,43562,5592
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38968,44111,5143
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
38893,43909,5016
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
